,id,name,date,rainfall,longitude,latitude,seconds
2553158,7677,RG_001,2021-06-29T14:35:00,0.0,-79.47811,43.64768,15518100.0
2553159,7677,RG_001,2021-06-29T14:40:00,0.0,-79.47811,43.64768,15518400.0
2553160,7677,RG_001,2021-06-29T14:45:00,0.0,-79.47811,43.64768,15518700.0
2553161,7677,RG_001,2021-06-29T14:50:00,0.0,-79.47811,43.64768,15519000.0
2553162,7677,RG_001,2021-06-29T14:55:00,0.034,-79.47811,43.64768,15519300.0
2553163,7677,RG_001,2021-06-29T15:00:00,0.007,-79.47811,43.64768,15519600.0
2553164,7677,RG_001,2021-06-29T15:05:00,0.011,-79.47811,43.64768,15519900.0
2553165,7677,RG_001,2021-06-29T15:10:00,0.0,-79.47811,43.64768,15520200.0
2553166,7677,RG_001,2021-06-29T15:15:00,0.0,-79.47811,43.64768,15520500.0
2553167,7677,RG_001,2021-06-29T15:20:00,0.0,-79.47811,43.64768,15520800.0
2553168,7677,RG_001,2021-06-29T15:25:00,0.0,-79.47811,43.64768,15521100.0
2553169,7677,RG_001,2021-06-29T15:30:00,0.085,-79.47811,43.64768,15521400.0
2553170,7677,RG_001,2021-06-29T15:35:00,0.17,-79.47811,43.64768,15521700.0
2553171,7677,RG_001,2021-06-29T15:40:00,0.08,-79.47811,43.64768,15522000.0
2553172,7677,RG_001,2021-06-29T15:45:00,0.003,-79.47811,43.64768,15522300.0
2553173,7677,RG_001,2021-06-29T15:50:00,0.0,-79.47811,43.64768,15522600.0
2553174,7677,RG_001,2021-06-29T15:55:00,0.0,-79.47811,43.64768,15522900.0
2553175,7677,RG_001,2021-06-29T16:00:00,0.0,-79.47811,43.64768,15523200.0
2553176,7677,RG_001,2021-06-29T16:05:00,0.0,-79.47811,43.64768,15523500.0
2553177,7677,RG_001,2021-06-29T16:10:00,0.0,-79.47811,43.64768,15523800.0
2553178,7677,RG_001,2021-06-29T16:15:00,0.0,-79.47811,43.64768,15524100.0
2553179,7677,RG_001,2021-06-29T16:20:00,0.0,-79.47811,43.64768,15524400.0
2553180,7677,RG_001,2021-06-29T16:25:00,0.0,-79.47811,43.64768,15524700.0
2553181,7677,RG_001,2021-06-29T16:30:00,0.0,-79.47811,43.64768,15525000.0
2553182,7677,RG_001,2021-06-29T16:35:00,0.0,-79.47811,43.64768,15525300.0
2553183,7677,RG_001,2021-06-29T16:40:00,0.0,-79.47811,43.64768,15525600.0
2553184,7677,RG_001,2021-06-29T16:45:00,0.0,-79.47811,43.64768,15525900.0
2553185,7677,RG_001,2021-06-29T16:50:00,0.0,-79.47811,43.64768,15526200.0
2553186,7677,RG_001,2021-06-29T16:55:00,0.0,-79.47811,43.64768,15526500.0
2553187,7677,RG_001,2021-06-29T17:00:00,0.0,-79.47811,43.64768,15526800.0
2553188,7677,RG_001,2021-06-29T17:05:00,0.052,-79.47811,43.64768,15527100.0
2553189,7677,RG_001,2021-06-29T17:10:00,0.106,-79.47811,43.64768,15527400.0
2553190,7677,RG_001,2021-06-29T17:15:00,0.049,-79.47811,43.64768,15527700.0
2553191,7677,RG_001,2021-06-29T17:20:00,0.213,-79.47811,43.64768,15528000.0
2553192,7677,RG_001,2021-06-29T17:25:00,0.069,-79.47811,43.64768,15528300.0
2553193,7677,RG_001,2021-06-29T17:30:00,0.038,-79.47811,43.64768,15528600.0
2553194,7677,RG_001,2021-06-29T17:35:00,0.11,-79.47811,43.64768,15528900.0
2553195,7677,RG_001,2021-06-29T17:40:00,0.069,-79.47811,43.64768,15529200.0
2553196,7677,RG_001,2021-06-29T17:45:00,0.92,-79.47811,43.64768,15529500.0
2553197,7677,RG_001,2021-06-29T17:50:00,0.557,-79.47811,43.64768,15529800.0
2553198,7677,RG_001,2021-06-29T17:55:00,0.236,-79.47811,43.64768,15530100.0
2553199,7677,RG_001,2021-06-29T18:00:00,0.035,-79.47811,43.64768,15530400.0
2553200,7677,RG_001,2021-06-29T18:05:00,0.031,-79.47811,43.64768,15530700.0
2553201,7677,RG_001,2021-06-29T18:10:00,0.027,-79.47811,43.64768,15531000.0
2553202,7677,RG_001,2021-06-29T18:15:00,0.0,-79.47811,43.64768,15531300.0
2553203,7677,RG_001,2021-06-29T18:20:00,0.005,-79.47811,43.64768,15531600.0
2553204,7677,RG_001,2021-06-29T18:25:00,0.002,-79.47811,43.64768,15531900.0
2553205,7677,RG_001,2021-06-29T18:30:00,0.002,-79.47811,43.64768,15532200.0
2553206,7677,RG_001,2021-06-29T18:35:00,0.005,-79.47811,43.64768,15532500.0
2553207,7677,RG_001,2021-06-29T18:40:00,0.001,-79.47811,43.64768,15532800.0
2553208,7677,RG_001,2021-06-29T18:45:00,0.001,-79.47811,43.64768,15533100.0
2553209,7677,RG_001,2021-06-29T18:50:00,0.004,-79.47811,43.64768,15533400.0
2553210,7677,RG_001,2021-06-29T18:55:00,0.006,-79.47811,43.64768,15533700.0
2553211,7677,RG_001,2021-06-29T19:00:00,0.009,-79.47811,43.64768,15534000.0
2553212,7677,RG_001,2021-06-29T19:05:00,0.001,-79.47811,43.64768,15534300.0
2553213,7677,RG_001,2021-06-29T19:10:00,0.0,-79.47811,43.64768,15534600.0
2553214,7677,RG_001,2021-06-29T19:15:00,0.003,-79.47811,43.64768,15534900.0
2553215,7677,RG_001,2021-06-29T19:20:00,0.0,-79.47811,43.64768,15535200.0
2553216,7677,RG_001,2021-06-29T19:25:00,0.001,-79.47811,43.64768,15535500.0
2553217,7677,RG_001,2021-06-29T19:30:00,0.0,-79.47811,43.64768,15535800.0
2553218,7677,RG_001,2021-06-29T19:35:00,0.0,-79.47811,43.64768,15536100.0
2553219,7677,RG_001,2021-06-29T19:40:00,0.0,-79.47811,43.64768,15536400.0
2553220,7677,RG_001,2021-06-29T19:45:00,0.0,-79.47811,43.64768,15536700.0
2553221,7677,RG_001,2021-06-29T19:50:00,0.0,-79.47811,43.64768,15537000.0
2553222,7677,RG_001,2021-06-29T19:55:00,0.0,-79.47811,43.64768,15537300.0
2553223,7677,RG_001,2021-06-29T20:00:00,0.0,-79.47811,43.64768,15537600.0
2553224,7677,RG_001,2021-06-29T20:05:00,0.0,-79.47811,43.64768,15537900.0
2553225,7677,RG_001,2021-06-29T20:10:00,0.0,-79.47811,43.64768,15538200.0
2553226,7677,RG_001,2021-06-29T20:15:00,0.0,-79.47811,43.64768,15538500.0
2553227,7677,RG_001,2021-06-29T20:20:00,0.0,-79.47811,43.64768,15538800.0
2553228,7677,RG_001,2021-06-29T20:25:00,0.0,-79.47811,43.64768,15539100.0
2553229,7677,RG_001,2021-06-29T20:30:00,0.0,-79.47811,43.64768,15539400.0
2553230,7677,RG_001,2021-06-29T20:35:00,0.0,-79.47811,43.64768,15539700.0
2553231,7677,RG_001,2021-06-29T20:40:00,0.0,-79.47811,43.64768,15540000.0
2553232,7677,RG_001,2021-06-29T20:45:00,0.0,-79.47811,43.64768,15540300.0
2553233,7677,RG_001,2021-06-29T20:50:00,0.0,-79.47811,43.64768,15540600.0
2553234,7677,RG_001,2021-06-29T20:55:00,0.0,-79.47811,43.64768,15540900.0
2553235,7677,RG_001,2021-06-29T21:00:00,0.0,-79.47811,43.64768,15541200.0
2553236,7677,RG_001,2021-06-29T21:05:00,0.0,-79.47811,43.64768,15541500.0
2553237,7677,RG_001,2021-06-29T21:10:00,0.0,-79.47811,43.64768,15541800.0
2553238,7677,RG_001,2021-06-29T21:15:00,0.0,-79.47811,43.64768,15542100.0
2553239,7677,RG_001,2021-06-29T21:20:00,0.0,-79.47811,43.64768,15542400.0
2553240,7677,RG_001,2021-06-29T21:25:00,0.0,-79.47811,43.64768,15542700.0
2553241,7677,RG_001,2021-06-29T21:30:00,0.0,-79.47811,43.64768,15543000.0
2553242,7677,RG_001,2021-06-29T21:35:00,0.0,-79.47811,43.64768,15543300.0
2553243,7677,RG_001,2021-06-29T21:40:00,0.0,-79.47811,43.64768,15543600.0
2553244,7677,RG_001,2021-06-29T21:45:00,0.0,-79.47811,43.64768,15543900.0
2553245,7677,RG_001,2021-06-29T21:50:00,0.0,-79.47811,43.64768,15544200.0
2553246,7677,RG_001,2021-06-29T21:55:00,0.0,-79.47811,43.64768,15544500.0
2553247,7677,RG_001,2021-06-29T22:00:00,0.0,-79.47811,43.64768,15544800.0
2553248,7677,RG_001,2021-06-29T22:05:00,0.0,-79.47811,43.64768,15545100.0
2553249,7677,RG_001,2021-06-29T22:10:00,0.0,-79.47811,43.64768,15545400.0
